web_scraper_order,web_scraper_start_url,type_vetements,price,adress,limg_link
"1765181711-1","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","Grenouillère - Ensemble Femme","Prix sur demande","Guediawaye, Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/grenouillere-ensemble-femme-740349"
"1765181711-2","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","Robe pour enfant","35 000CFA","Dieuppeul-Derklé, Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/robe-pour-enfant-739801"
"1765181711-3","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","Couches et vêtements enfants","8 000CFA","Ngor, Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/couches-et-vetements-enfants-735868"
"1765181711-4","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","Costume enfant","20 000CFA","Médina, Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/costume-enfant-735207"
"1765181711-5","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","Abaya enfant 2 ans - 5 ans","18 000CFA","Les Parcelles Assainies, Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/abaya-enfant-2-ans-5-ans-727626"
"1765181711-6","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","Abaya enfant Spéciale Tabaski","Prix sur demande","Les Parcelles Assainies, Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/abaya-enfant-speciale-tabaski-725848"
"1765181711-7","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","Tenue enfant","10 000CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/tenue-enfant-724146"
"1765181711-8","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","Tenue enfant","10 000CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/tenue-enfant-724143"
"1765181711-9","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","Tenue pour enfant","10 000CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/tenue-pour-enfant-724138"
"1765181711-10","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","Tenue pour enfant","10 000CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/tenue-pour-enfant-724135"
"1765181711-11","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","Tenue enfant","10 000CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/tenue-enfant-724130"
"1765181711-12","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","Tenue enfant","10 000CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/tenue-enfant-724128"
"1765181711-13","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","Tenue pour enfant","10 000CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/tenue-pour-enfant-724122"
"1765181711-14","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","Tenue enfant","10 000CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/tenue-enfant-724115"
"1765181711-15","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","Tenue enfant","10 000CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/tenue-enfant-724113"
"1765181711-16","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","Tenue pour enfant","10 000CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/tenue-pour-enfant-724109"
"1765181711-17","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","Tenue pour enfant","10 000CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/tenue-pour-enfant-724102"
"1765181711-18","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","Tenue pour enfant","10 000CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/tenue-pour-enfant-724091"
"1765181711-19","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","Tenue pour enfant","10 000CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/tenue-pour-enfant-724081"
"1765181711-20","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","Tenues enfant","10 000CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/tenues-enfant-724072"
"1765181711-21","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","Tenues enfant","10 000CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/tenues-enfant-724060"
"1765181711-22","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","Tenue Enfant","10 000CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/tenue-enfant-724057"
"1765181711-23","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","Tenue enfant","10 000CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/tenue-enfant-724054"
"1765181711-24","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","Tenue pour enfant","10 000CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/tenue-pour-enfant-724052"
"1765181711-25","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","Tenue enfant","10 000CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/tenue-enfant-724047"
"1765181711-26","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","Ensemble pour enfant","10 000CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-pour-enfant-724043"
"1765181711-27","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","Ensemble costume enfant","25 000CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-costume-enfant-724000"
"1765181711-28","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","Ensemble costume enfant","25 000CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-costume-enfant-723992"
"1765181889-29","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Vêtements enfants","Prix sur demande","Point E, Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/vetements-enfants-882774"
"1765181889-30","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Vêtement  bébé","6 000CFA","Cambérène, Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/vetement-bebe-882678"
"1765181889-31","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Friperie 1er choix - Vêtements enfants","Prix sur demande","Dieuppeul-Derklé, Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/friperie-1er-choix-vetements-enfants-874430"
"1765181889-32","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Friperie de 1er choix - Vêtements enfants","Prix sur demande","Dieuppeul-Derklé, Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/friperie-de-1er-choix-vetements-enfants-874424"
"1765181889-33","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Vêtements Enfants - friperie de 1er choix","Prix sur demande","Dieuppeul-Derklé, Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/vetements-enfants-friperie-de-1er-choix-874422"
"1765181889-34","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Friperie 1er choix - Vêtements enfants","Prix sur demande","Dieuppeul-Derklé, Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/friperie-1er-choix-vetements-enfants-874418"
"1765181889-35","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Vêtements enfants","Prix sur demande","Dieuppeul-Derklé, Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/vetements-enfants-874410"
"1765181889-36","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Friperie de 1er choix","Prix sur demande","Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/friperie-de-1er-choix-874399"
"1765181889-37","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Blouson pour enfant","Prix sur demande","Médina, Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/blouson-pour-enfant-859544"
"1765181889-38","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Vêtements enfants","Prix sur demande","Médina, Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/vetements-enfants-859540"
"1765181889-39","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Robe enfant","8 000CFA","Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/robe-enfant-829029"
"1765181889-40","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Robe","Prix sur demande","Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/robe-821731"
"1765181889-41","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Collection robes de Tabaski","Prix sur demande","Guediawaye, Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/collection-robes-de-tabaski-814621"
"1765181889-42","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Blouson Enfant","Prix sur demande","Médina, Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/blouson-enfant-809246"
"1765181889-43","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Robes bazin brodé - enfant","15 000CFA","Hann Bel-Air, Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/robes-bazin-brode-enfant-808557"
"1765181889-44","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Vêtements enfant - Bazin Getzner","20 000CFA","Hann Bel-Air, Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/vetements-enfant-bazin-getzner-808553"
"1765181889-45","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Robe   Getzner  enfant","20 000CFA","Hann Bel-Air, Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/robe-getzner-enfant-808545"
"1765181889-46","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Vêtements enfant","Prix sur demande","HLM, Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/vetements-enfant-803921"
"1765181889-47","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Ensemble garçon","Prix sur demande","Biscuiterie, Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-garcon-799559"
"1765181889-48","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Robe enfant","Prix sur demande","Biscuiterie, Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/robe-enfant-799552"
"1765181889-49","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Robe pour enfants","Prix sur demande","Petit-Mbao, Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/robe-pour-enfants-799192"
"1765181889-50","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Robes pour enfant","Prix sur demande","Petit-Mbao, Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/robes-pour-enfant-799190"
"1765181889-51","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Vêtements enfant","Prix sur demande","Médina, Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/vetements-enfant-794850"
"1765181889-52","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Costume Enfant","Prix sur demande","Médina, Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/costume-enfant-789093"
"1765181889-53","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Tenue enfant","18 000CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/tenue-enfant-780901"
"1765181889-54","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Ensemble pour enfant","Prix sur demande","Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-pour-enfant-780854"
"1765181889-55","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Ensemble Biberon 5 Pièces de Garçons en Bleu - à partir de ...","1 900CFA","Sicap Liberté, Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-biberon-5-pieces-de-garcons-en-bleu-a-partir-de-la-naissance-0-m-et-777756"
"1765181889-56","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Vêtements enfant","Prix sur demande","Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/vetements-enfant-777530"
"1765181889-57","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Robe enfant","Prix sur demande","Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/robe-enfant-777518"
"1765181889-58","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Robe enfant","Prix sur demande","Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/robe-enfant-777499"
"1765181889-59","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Robe fillette","Prix sur demande","Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/robe-fillette-777479"
"1765181889-60","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Robe fillette","Prix sur demande","Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/robe-fillette-777474"
"1765181889-61","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Vêtements enfant","Prix sur demande","Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/vetements-enfant-777469"
"1765181889-62","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Robe enfant","Prix sur demande","Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/robe-enfant-777455"
"1765181889-63","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Robe enfant","Prix sur demande","Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/robe-enfant-777414"
"1765181889-64","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Vêtements pour enfant","Prix sur demande","Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/vetements-pour-enfant-777403"
"1765181889-65","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Robe","Prix sur demande","Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/robe-777221"
"1765181889-66","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Robe petite fille","Prix sur demande","Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/robe-petite-fille-777193"
"1765181889-67","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Robe","Prix sur demande","Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/robe-777133"
"1765181889-68","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Robe","Prix sur demande","Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/robe-777129"
"1765181889-69","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Robe enfant","Prix sur demande","Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/robe-enfant-777120"
"1765181889-70","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Robe","Prix sur demande","Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/robe-777117"
"1765181889-71","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Robe","Prix sur demande","Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/robe-777111"
"1765181889-72","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Robe enfant","Prix sur demande","Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/robe-enfant-777045"
"1765181889-73","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Robe enfant","Prix sur demande","Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/robe-enfant-777036"
"1765181889-74","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Robe enfant","Prix sur demande","Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/robe-enfant-777032"
"1765181889-75","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Vêtement enfant","Prix sur demande","Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/vetement-enfant-777027"
"1765181889-76","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Vêtement enfant","Prix sur demande","Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/vetement-enfant-777023"
"1765181889-77","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Robe enfant","Prix sur demande","Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/robe-enfant-777019"
"1765181889-78","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Robe enfant","Prix sur demande","Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/robe-enfant-777015"
"1765181889-79","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Robe enfant","Prix sur demande","Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/robe-enfant-777013"
"1765181889-80","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Robe enfant","Prix sur demande","Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/robe-enfant-777011"
"1765181889-81","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Robe enfant","Prix sur demande","Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/robe-enfant-776960"
"1765181889-82","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Robe enfant","Prix sur demande","Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/robe-enfant-776951"
"1765181889-83","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Robe enfant","Prix sur demande","Ouakam, Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/robe-enfant-776102"
"1765181889-84","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Vêtements enfant","Prix sur demande","Ouakam, Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/vetements-enfant-776078"
"1765181889-85","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Vêtements enfant","Prix sur demande","Ouakam, Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/vetements-enfant-776065"
"1765181889-86","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Vêtements enfant","Prix sur demande","Ouakam, Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/vetements-enfant-774845"
"1765181889-87","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Robes pour enfant","Prix sur demande","Ouakam, Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/robes-pour-enfant-774840"
"1765181889-88","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Vêtements bébé","Prix sur demande","Médina, Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/vetements-bebe-774806"
"1765181889-89","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Vêtements bébé","Prix sur demande","Médina, Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/vetements-bebe-774803"
"1765181889-90","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Habillement enfant","Prix sur demande","Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/habillement-enfant-772978"
"1765181889-91","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Vêtement enfant","Prix sur demande","Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/vetement-enfant-772928"
"1765181889-92","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Vêtement enfant","Prix sur demande","Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/vetement-enfant-772900"
"1765181889-93","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Tee-shirt","Prix sur demande","Guediawaye, Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/tee-shirt-772515"
"1765181889-94","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Robes enfants","Prix sur demande","Ouakam, Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/robes-enfants-770101"
"1765181889-95","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Robes","Prix sur demande","Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/robes-766924"
"1765181889-96","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Costume enfant","20 000CFA","Médina, Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/costume-enfant-766156"
"1765181889-97","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Costume Enfant","20 000CFA","Médina, Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/costume-enfant-766149"
"1765181889-98","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Vêtements enfant","10 000CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/vetements-enfant-765642"
"1765181889-99","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Djellaba Enfant","Prix sur demande","Guediawaye, Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/djellaba-enfant-765640"
"1765181889-100","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Djellaba Enfant","10 000CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/djellaba-enfant-765637"
"1765181889-101","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Vêtements enfants","Prix sur demande","Les Parcelles Assainies, Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/vetements-enfants-762906"
"1765181889-102","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Robe avec sacoche","10 000CFA","Dakar Plateau, Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/robe-avec-sacoche-760606"
"1765181889-103","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Ensemble chic pour bébé","10 000CFA","Ouakam, Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-chic-pour-bebe-760600"
"1765181889-104","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Ensemble fille","8 000CFA","Dakar Plateau, Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-fille-760599"
"1765181889-105","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Robe avec petite traîne","12 000CFA","Ouakam, Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/robe-avec-petite-traine-760597"
"1765181889-106","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Robe enfant","10 000CFA","Dakar Plateau, Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/robe-enfant-760595"
"1765181889-107","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Joggings filles","3 000CFA","Dakar Plateau, Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/joggings-filles-760586"
"1765181889-108","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Robes toute mimi pour enfants","10 000CFA","Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/robes-toute-mimi-pour-enfants-1011525"
"1765181889-109","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Robe brodée enfant","12 000CFA","Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/robe-brodee-enfant-1011523"
"1765181889-110","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Jolies robes en wax","8 000CFA","Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/jolies-robes-en-wax-1011524"
"1765181889-111","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Costume enfant","20 000CFA","Médina, Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/costume-enfant-752448"
"1765181889-112","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Blouson enfant","18 000CFA","Médina, Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/blouson-enfant-752408"
"1765182105-113","https://sn.coinafrique.com/categorie/vetements-enfants?page=20","Robe  enfant","Prix sur demande","Dakar-Plateau, Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/robe-enfant-1169730"
"1765182105-114","https://sn.coinafrique.com/categorie/vetements-enfants?page=20","Vêtements pour enfants et adultes","5 000CFA","Ngor, Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/vetements-pour-enfants-et-adultes-1164929"
"1765182105-115","https://sn.coinafrique.com/categorie/vetements-enfants?page=20","Vêtements Enfants","Prix sur demande","Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/vetements-enfants-1159944"
"1765182105-116","https://sn.coinafrique.com/categorie/vetements-enfants?page=20","Robes pour enfants","10 000CFA","Grand Dakar, Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/robes-pour-enfants-1159823"
"1765182105-117","https://sn.coinafrique.com/categorie/vetements-enfants?page=20","Habits","Prix sur demande","Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/habits-1145063"
"1765182105-118","https://sn.coinafrique.com/categorie/vetements-enfants?page=20","Habits","Prix sur demande","Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/habits-1145052"
"1765182105-119","https://sn.coinafrique.com/categorie/vetements-enfants?page=20","Habits","Prix sur demande","Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/habits-1145048"
"1765182105-120","https://sn.coinafrique.com/categorie/vetements-enfants?page=20","Habit","Prix sur demande","Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/habit-1145043"
"1765182105-121","https://sn.coinafrique.com/categorie/vetements-enfants?page=20","Habits","Prix sur demande","Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/habits-1145031"
"1765182105-122","https://sn.coinafrique.com/categorie/vetements-enfants?page=20","Vêtement enfant","Prix sur demande","Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/vetement-enfant-1144936"
"1765182105-123","https://sn.coinafrique.com/categorie/vetements-enfants?page=20","Vêtements enfant","Prix sur demande","Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/vetements-enfant-1144927"
"1765182105-124","https://sn.coinafrique.com/categorie/vetements-enfants?page=20","Vêtements enfants","Prix sur demande","Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/vetements-enfants-1144902"
"1765182105-125","https://sn.coinafrique.com/categorie/vetements-enfants?page=20","Habits","Prix sur demande","Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/habits-1144898"
"1765182105-126","https://sn.coinafrique.com/categorie/vetements-enfants?page=20","Habits","10 000CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/habits-1144890"
"1765182105-127","https://sn.coinafrique.com/categorie/vetements-enfants?page=20","Habits","Prix sur demande","Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/habits-1144880"
"1765182105-128","https://sn.coinafrique.com/categorie/vetements-enfants?page=20","Vêtements enfant","Prix sur demande","Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/vetements-enfant-1144872"
"1765182105-129","https://sn.coinafrique.com/categorie/vetements-enfants?page=20","Ensemble enfants","Prix sur demande","Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-enfants-1144870"
"1765182105-130","https://sn.coinafrique.com/categorie/vetements-enfants?page=20","Ensemble enfant","10 000CFA","Guediawaye, Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-enfant-1144863"
"1765182105-131","https://sn.coinafrique.com/categorie/vetements-enfants?page=20","Vêtements enfant","10 000CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/vetements-enfant-1144859"
"1765182105-132","https://sn.coinafrique.com/categorie/vetements-enfants?page=20","Ensemble enfant","10 000CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-enfant-1144822"
